Date and Time,Time (s),Temperature (C),Position (m),Velocity (m/s),Acceleration (m/s²),Temperature (°C)
05/25/2020 11:05:48 AM,0,30.8,0.23,,,106.5
05/25/2020 11:05:58 AM,10,31.1,0.2,-8.60E-06,,106.4
05/25/2020 11:06:08 AM,20,31.9,0.23,-2.52E-04,5.88E-06,106.3
05/25/2020 11:06:18 AM,30,32.8,0.2,1.09E-04,2.37E-05,106.4
05/25/2020 11:06:28 AM,40,33.3,0.22,3.76E-04,2.15E-05,106.5
05/25/2020 11:06:38 AM,50,34.2,0.22,7.83E-04,-1.07E-05,106.6
05/25/2020 11:06:48 AM,60,34.8,0.23,3.67E-04,-4.93E-05,106.7
05/25/2020 11:06:58 AM,70,35.1,0.23,-5.25E-04,-4.90E-05,106.8
05/25/2020 11:07:08 AM,80,35.3,0.23,0,6.31E-06,106.9
05/25/2020 11:07:18 AM,90,35.6,0.19,-5.19E-04,6.07E-05,106.9
05/25/2020 11:07:28 AM,100,36.4,0.2,7.40E-04,5.51E-05,106.9
05/25/2020 11:07:38 AM,110,37,0.23,0,-7.45E-06,106.9
05/25/2020 11:07:48 AM,120,38.1,0.23,4.07E-04,-5.92E-05,106.9
05/25/2020 11:07:58 AM,130,39,0.22,-6.34E-04,-6.03E-05,106.8
05/25/2020 11:08:08 AM,140,39.3,0.23,0,-2.34E-05,106.7
05/25/2020 11:08:18 AM,150,28.1,0.19,0,1.94E-05,106.7
05/25/2020 11:08:28 AM,160,26.9,0.19,-5.96E-04,3.71E-05,106.6
05/25/2020 11:08:38 AM,170,27.1,0.2,5.16E-05,2.86E-05,106.4
05/25/2020 11:08:48 AM,180,27.2,0.19,6.88E-05,8.89E-06,106.3
05/25/2020 11:08:58 AM,190,27.7,0.2,2.01E-05,-3.25E-06,106.1
05/25/2020 11:09:08 AM,200,27.8,0.2,-3.15E-05,-1.58E-06,105.9
05/25/2020 11:09:18 AM,210,28.3,0.2,-4.30E-05,2.48E-06,105.6
05/25/2020 11:09:28 AM,220,28.7,0.2,3.73E-05,3.54E-06,105.4
05/25/2020 11:09:38 AM,230,29.4,0.2,1.00E-04,-4.78E-07,105.1
05/25/2020 11:09:48 AM,240,29.8,0.2,3.73E-05,-4.63E-06,104.7
05/25/2020 11:09:58 AM,250,30.3,0.2,-7.17E-05,-4.40E-06,104.5
05/25/2020 11:10:08 AM,260,31.2,0.2,-6.88E-05,-1.86E-06,104.3
05/25/2020 11:10:18 AM,270,31.5,0.19,-5.73E-05,-1.91E-07,104.2
05/25/2020 11:10:28 AM,280,31.8,0.2,-8.89E-05,1.34E-06,104.2
05/25/2020 11:10:38 AM,290,32.2,0.19,-6.31E-05,3.11E-06,104.2
05/25/2020 11:10:48 AM,300,33.4,0.19,1.72E-05,4.20E-06,104.4
05/25/2020 11:10:58 AM,310,33.6,0.2,2.29E-05,4.01E-06,104.5
05/25/2020 11:11:08 AM,320,34.3,0.2,7.74E-05,2.34E-06,104.6
05/25/2020 11:11:18 AM,330,35.2,0.19,1.18E-04,-2.63E-06,104.7
05/25/2020 11:11:28 AM,340,35.3,0.2,6.31E-05,-7.93E-06,104.7
05/25/2020 11:11:38 AM,350,36,0.2,-1.20E-04,-5.16E-06,104.7
05/25/2020 11:11:48 AM,360,36.3,0.19,-1.61E-04,3.58E-06,104.7
05/25/2020 11:11:58 AM,370,36.5,0.19,3.15E-05,8.22E-06,104.6
05/25/2020 11:12:08 AM,380,36.9,0.2,1.26E-04,3.39E-06,104.5
05/25/2020 11:12:18 AM,390,37.3,0.2,8.60E-05,-2.34E-06,104.3
05/25/2020 11:12:28 AM,400,37.4,0.2,-1.15E-05,-2.44E-06,104.1
05/25/2020 11:12:38 AM,410,37.7,0.2,2.87E-05,9.56E-07,103.9
05/25/2020 11:12:48 AM,420,38.1,0.19,3.73E-05,2.25E-06,103.7
05/25/2020 11:12:58 AM,430,38.5,0.2,9.46E-05,4.78E-07,103.4
05/25/2020 11:13:08 AM,440,39.1,0.2,5.73E-05,-1.58E-06,103.1
05/25/2020 11:13:18 AM,450,39.1,0.2,3.73E-05,-4.63E-06,102.9
05/25/2020 11:13:28 AM,460,39.5,0.2,0,-7.31E-06,102.8
05/25/2020 11:13:38 AM,470,39.9,0.2,-1.26E-04,-7.21E-06,102.8
05/25/2020 11:13:48 AM,480,40.5,0.2,-2.18E-04,-1.77E-06,102.8
05/25/2020 11:13:58 AM,490,40.8,0.2,-1.78E-04,6.88E-06,102.9
05/25/2020 11:14:08 AM,500,41.2,0.19,-5.45E-05,1.16E-05,103.1
05/25/2020 11:14:18 AM,510,41.7,0.2,1.23E-04,9.94E-06,103.3
05/25/2020 11:14:28 AM,520,42.1,0.19,1.75E-04,2.15E-06,103.4
05/25/2020 11:14:38 AM,530,42.6,0.2,1.89E-04,-8.22E-06,103.5
05/25/2020 11:14:48 AM,540,42.9,0.2,8.60E-06,-1.32E-05,103.6
05/25/2020 11:14:58 AM,550,43.4,0.2,-2.04E-04,-9.65E-06,103.6
05/25/2020 11:15:08 AM,560,43.7,0.19,-2.26E-04,5.26E-07,103.6
05/25/2020 11:15:18 AM,570,44.1,0.19,-1.55E-04,6.59E-06,103.5
05/25/2020 11:15:28 AM,580,44.4,0.19,-8.60E-06,7.12E-06,103.4
05/25/2020 11:15:38 AM,590,44.8,0.19,-2.58E-05,5.45E-06,103.3
05/25/2020 11:15:48 AM,600,45.6,0.19,7.17E-05,4.87E-06,103.2
05/25/2020 11:15:58 AM,610,45.8,0.19,9.17E-05,4.01E-06,103.1
05/25/2020 11:16:08 AM,620,45.7,0.2,1.66E-04,9.56E-07,102.8
05/25/2020 11:16:18 AM,630,46,0.19,1.20E-04,-2.72E-06,102.6
05/25/2020 11:16:28 AM,640,46.2,0.2,1.00E-04,-6.40E-06,102.4
05/25/2020 11:16:38 AM,650,46.3,0.2,-5.73E-06,-6.59E-06,102.2
05/25/2020 11:16:48 AM,660,46.5,0.2,-9.17E-05,-4.73E-06,102.1
05/25/2020 11:16:58 AM,670,47,0.19,-8.31E-05,-1.34E-06,102
05/25/2020 11:17:08 AM,680,47.3,0.2,-1.06E-04,1.34E-06,102.1
05/25/2020 11:17:18 AM,690,47.8,0.19,-7.17E-05,3.82E-06,102.2
05/25/2020 11:17:28 AM,700,48.2,0.19,-2.29E-05,4.49E-06,102.4
05/25/2020 11:17:38 AM,710,48.5,0.19,6.31E-05,1.39E-06,102.6
05/25/2020 11:17:48 AM,720,48.8,0.2,2.87E-05,-2.34E-06,102.7
05/25/2020 11:17:58 AM,730,49.4,0.19,-4.01E-05,-2.77E-06,102.8
05/25/2020 11:18:08 AM,740,49.7,0.19,-6.02E-05,7.17E-07,102.8
05/25/2020 11:18:18 AM,750,49.9,0.19,-1.43E-05,3.06E-06,102.9
05/25/2020 11:18:28 AM,760,50.3,0.19,4.59E-05,2.15E-06,102.9
05/25/2020 11:18:38 AM,770,50.6,0.19,3.73E-05,1.58E-06,102.8
05/25/2020 11:18:48 AM,780,51,0.2,1.72E-05,3.73E-06,102.8
05/25/2020 11:18:58 AM,790,51.1,0.19,1.09E-04,4.78E-06,102.8
05/25/2020 11:19:08 AM,800,51.6,0.2,1.98E-04,-9.08E-07,102.6
05/25/2020 11:19:18 AM,810,51.6,0.2,1.43E-04,-8.22E-06,102.5
05/25/2020 11:19:28 AM,820,51.9,0.2,-7.17E-05,-6.93E-06,102.3
05/25/2020 11:19:38 AM,830,52.2,0.2,-1.15E-04,6.21E-07,102.1
05/25/2020 11:19:48 AM,840,52.4,0.2,4.01E-05,5.16E-06,101.9
05/25/2020 11:19:58 AM,850,52.3,0.2,6.88E-05,8.12E-07,101.7
05/25/2020 11:20:08 AM,860,52.6,0.2,5.45E-05,-4.68E-06,101.6
05/25/2020 11:20:18 AM,870,52.8,0.2,-8.03E-05,-5.35E-06,101.6
05/25/2020 11:20:28 AM,880,53.3,0.2,-9.17E-05,-2.25E-06,101.6
05/25/2020 11:20:38 AM,890,53.5,0.19,-1.06E-04,2.15E-06,101.9
05/25/2020 11:20:48 AM,900,53.8,0.2,-5.45E-05,1.39E-06,102
05/25/2020 11:20:58 AM,910,54.1,0.19,1.15E-05,1.43E-07,102.4
05/25/2020 11:21:08 AM,920,54.7,0.2,-1.26E-04,5.73E-07,102.8
05/25/2020 11:21:18 AM,930,55.1,0.19,-2.58E-05,2.72E-06,103.2
05/25/2020 11:21:28 AM,940,55.5,0.19,1.72E-05,2.01E-06,103.6
05/25/2020 11:21:38 AM,950,55.7,0.2,3.15E-05,-2.20E-06,104
05/25/2020 11:21:48 AM,960,56.2,0.19,-6.31E-05,-1.58E-06,104.3
05/25/2020 11:21:58 AM,970,56.7,0.19,-7.74E-05,1.34E-06,104.6
05/25/2020 11:22:08 AM,980,56.9,0.19,3.15E-05,2.15E-06,104.8
05/25/2020 11:22:18 AM,990,57.3,0.19,1.72E-05,1.72E-06,105
05/25/2020 11:22:28 AM,1000,57.6,0.19,-2.87E-05,4.78E-06,105.2
05/25/2020 11:22:38 AM,1010,58.2,0.19,8.60E-05,8.74E-06,105.2
05/25/2020 11:22:48 AM,1020,58.1,0.19,2.49E-04,4.01E-06,105.2
05/25/2020 11:22:58 AM,1030,58.4,0.2,2.64E-04,-9.51E-06,105.4
05/25/2020 11:23:08 AM,1040,58.5,0.2,3.44E-05,-1.79E-05,105.3
05/25/2020 11:23:18 AM,1050,58.6,0.2,-2.69E-04,-1.13E-05,105.2
05/25/2020 11:23:28 AM,1060,58.8,0.19,-2.92E-04,3.58E-06,105.2
05/25/2020 11:23:38 AM,1070,58.9,0.19,-8.89E-05,1.06E-05,105.1
05/25/2020 11:23:48 AM,1080,59.2,0.19,6.88E-05,5.11E-06,105
05/25/2020 11:23:58 AM,1090,59.3,0.2,5.73E-06,-2.87E-07,104.9
05/25/2020 11:24:08 AM,1100,59.5,0.19,-8.03E-05,1.91E-06,104.8
05/25/2020 11:24:18 AM,1110,59.7,0.19,4.30E-05,3.87E-06,104.8
05/25/2020 11:24:28 AM,1120,60.2,0.19,1.46E-04,-1.77E-06,104.9
05/25/2020 11:24:38 AM,1130,60.5,0.2,1.15E-05,-8.12E-06,105.1
05/25/2020 11:24:48 AM,1140,60.5,0.19,-1.55E-04,-2.91E-06,105.2
05/25/2020 11:24:58 AM,1150,60.6,0.19,-1.43E-04,7.07E-06,105.6
05/25/2020 11:25:08 AM,1160,61,0.19,1.26E-04,9.70E-06,105.8
05/25/2020 11:25:18 AM,1170,61.3,0.19,1.55E-04,3.11E-06,106
05/25/2020 11:25:28 AM,1180,61.7,0.2,1.29E-04,-4.68E-06,106.2
05/25/2020 11:25:38 AM,1190,61.9,0.19,4.01E-05,-5.49E-06,106.4
05/25/2020 11:25:48 AM,1200,62.1,0.2,-4.01E-05,-2.48E-06,106.5
05/25/2020 11:25:58 AM,1210,62.3,0.2,-5.73E-06,1.00E-06,106.6
05/25/2020 11:26:08 AM,1220,62.7,0.2,2.58E-05,-9.08E-07,106.6
05/25/2020 11:26:18 AM,1230,63.1,0.2,3.44E-05,-6.55E-06,106.6
05/25/2020 11:26:28 AM,1240,63.1,0.2,-1.35E-04,-6.12E-06,106.6
05/25/2020 11:26:38 AM,1250,63.1,0.19,-2.38E-04,2.96E-06,106.6
05/25/2020 11:26:48 AM,1260,63.2,0.19,-6.88E-05,1.01E-05,106.5
05/25/2020 11:26:58 AM,1270,63.4,0.19,1.46E-04,6.07E-06,106.4
05/25/2020 11:27:08 AM,1280,63.4,0.2,8.60E-05,-1.58E-06,106.2
05/25/2020 11:27:18 AM,1290,63.5,0.2,-2.87E-05,-1.24E-06,106.1
05/25/2020 11:27:28 AM,1300,63.5,0.19,1.15E-05,4.49E-06,106
05/25/2020 11:27:38 AM,1310,63.7,0.2,1.46E-04,4.97E-06,106
05/25/2020 11:27:48 AM,1320,63.9,0.2,1.81E-04,-1.72E-06,106
05/25/2020 11:27:58 AM,1330,64.2,0.2,1.00E-04,-9.27E-06,106.1
05/25/2020 11:28:08 AM,1340,64.2,0.2,-4.59E-05,-1.25E-05,106.3
05/25/2020 11:28:18 AM,1350,64.5,0.2,-1.83E-04,-7.79E-06,106.5
05/25/2020 11:28:28 AM,1360,65.1,0.19,-2.87E-04,2.77E-06,106.8
05/25/2020 11:28:38 AM,1370,65,0.19,-1.26E-04,1.10E-05,107.1
05/25/2020 11:28:48 AM,1380,65.1,0.19,6.31E-05,9.89E-06,107.2
05/25/2020 11:28:58 AM,1390,65.4,0.2,1.26E-04,1.82E-06,107.4
05/25/2020 11:29:08 AM,1400,65.7,0.19,5.45E-05,-4.25E-06,107.4
05/25/2020 11:29:18 AM,1410,65.9,0.2,-8.60E-06,-4.63E-06,107.6
05/25/2020 11:29:28 AM,1420,66.1,0.19,-5.73E-05,-4.78E-08,107.6
05/25/2020 11:29:38 AM,1430,66.2,0.2,-4.01E-05,2.96E-06,107.6
05/25/2020 11:29:48 AM,1440,66.3,0.19,8.31E-05,1.05E-06,107.6
05/25/2020 11:29:58 AM,1450,66.3,0.2,2.87E-05,-4.49E-06,107.4
05/25/2020 11:30:08 AM,1460,66.7,0.2,-6.31E-05,-4.87E-06,107.4
05/25/2020 11:30:18 AM,1470,66.6,0.19,-1.63E-04,1.15E-06,107.2
05/25/2020 11:30:28 AM,1480,66.5,0.19,-1.72E-05,3.39E-06,107.1
05/25/2020 11:30:38 AM,1490,66.5,0.19,5.16E-05,1.58E-06,106.9
05/25/2020 11:30:48 AM,1500,66.5,0.2,-7.45E-05,2.25E-06,106.8
05/25/2020 11:30:58 AM,1510,66.8,0.19,-1.15E-05,7.45E-06,106.7
05/25/2020 11:31:08 AM,1520,67.1,0.19,1.81E-04,7.50E-06,106.7
05/25/2020 11:31:18 AM,1530,66.9,0.2,2.44E-04,-2.25E-06,106.7
05/25/2020 11:31:28 AM,1540,67,0.2,1.20E-04,-9.36E-06,106.9
05/25/2020 11:31:38 AM,1550,67.7,0.2,-8.60E-05,-8.36E-06,107.1
05/25/2020 11:31:48 AM,1560,68,0.2,-5.16E-05,-3.97E-06,107.4
05/25/2020 11:31:58 AM,1570,68,0.19,-8.60E-05,-2.87E-07,107.6
05/25/2020 11:32:08 AM,1580,68.1,0.2,-1.18E-04,3.20E-06,107.8
05/25/2020 11:32:18 AM,1590,68,0.19,-3.73E-05,7.74E-06,108
05/25/2020 11:32:28 AM,1600,68.4,0.2,9.17E-05,6.31E-06,108.1
05/25/2020 11:32:38 AM,1610,68.6,0.2,1.69E-04,7.17E-07,108.2
05/25/2020 11:32:48 AM,1620,68.6,0.2,5.45E-05,-4.54E-06,108.4
05/25/2020 11:32:58 AM,1630,68.7,0.2,4.30E-05,-6.12E-06,108.4
05/25/2020 11:33:08 AM,1640,68.9,0.2,-5.45E-05,-4.97E-06,108.8
05/25/2020 11:33:18 AM,1650,69.3,0.2,-8.89E-05,-1.24E-06,109.1
05/25/2020 11:33:28 AM,1660,69.6,0.19,-1.12E-04,5.78E-06,109.5
05/25/2020 11:33:38 AM,1670,69.9,0.2,2.58E-05,7.60E-06,109.9
05/25/2020 11:33:48 AM,1680,70.1,0.19,1.78E-04,2.10E-06,110.4
05/25/2020 11:33:58 AM,1690,70.4,0.2,7.74E-05,-6.88E-06,110.9
05/25/2020 11:34:08 AM,1700,70.7,0.2,-3.73E-05,-9.60E-06,111.1
05/25/2020 11:34:18 AM,1710,70.8,0.2,-1.72E-04,-3.63E-06,111.5
05/25/2020 11:34:28 AM,1720,70.9,0.2,-1.49E-04,3.87E-06,111.9
05/25/2020 11:34:38 AM,1730,71.4,0.19,-2.87E-05,6.78E-06,112.1
05/25/2020 11:34:48 AM,1740,71.5,0.19,5.16E-05,2.63E-06,112.4
05/25/2020 11:34:58 AM,1750,71.5,0.2,3.44E-05,-2.58E-06,112.5
05/25/2020 11:35:08 AM,1760,71.6,0.2,-5.45E-05,-1.39E-06,112.6
05/25/2020 11:35:18 AM,1770,71.5,0.19,-7.74E-05,3.58E-06,112.6
05/25/2020 11:35:28 AM,1780,71.7,0.19,8.03E-05,3.68E-06,112.7
05/25/2020 11:35:38 AM,1790,71.7,0.19,1.15E-04,-2.68E-06,112.7
05/25/2020 11:35:48 AM,1800,71.7,0.2,-2.58E-05,-7.36E-06,112.6
05/25/2020 11:35:58 AM,1810,71.7,0.19,-1.32E-04,-3.20E-06,112.6
05/25/2020 11:36:08 AM,1820,71.9,0.19,-1.15E-04,2.20E-06,112.6
05/25/2020 11:36:18 AM,1830,72,0.19,1.15E-05,3.54E-06,112.7
05/25/2020 11:36:28 AM,1840,72.2,0.19,-3.73E-05,2.91E-06,112.9
05/25/2020 11:36:38 AM,1850,72.3,0.19,2.87E-06,2.68E-06,113.1
05/25/2020 11:36:48 AM,1860,72.5,0.19,6.88E-05,3.20E-06,113.4
05/25/2020 11:36:58 AM,1870,72.7,0.2,6.59E-05,6.21E-07,113.7
05/25/2020 11:37:08 AM,1880,73,0.19,9.17E-05,-2.53E-06,114.1
05/25/2020 11:37:18 AM,1890,73.1,0.19,1.72E-05,-4.11E-06,114.3
05/25/2020 11:37:28 AM,1900,73.7,0.2,-3.44E-05,-3.20E-06,114.5
05/25/2020 11:37:38 AM,1910,73.5,0.19,-5.45E-05,2.39E-07,114.8
05/25/2020 11:37:48 AM,1920,73.7,0.19,-2.87E-05,2.15E-06,115
05/25/2020 11:37:58 AM,1930,73.5,0.2,2.58E-05,2.39E-06,115
05/25/2020 11:38:08 AM,1940,73.7,0.19,1.43E-05,2.77E-06,115.2
05/25/2020 11:38:18 AM,1950,74.2,0.19,4.59E-05,2.82E-06,115.2
05/25/2020 11:38:28 AM,1960,74.1,0.2,1.18E-04,1.39E-06,115.2
05/25/2020 11:38:38 AM,1970,74.1,0.2,9.17E-05,-2.58E-06,115.2
05/25/2020 11:38:48 AM,1980,74,0.2,5.16E-05,-5.97E-06,115.2
05/25/2020 11:38:58 AM,1990,74,0.2,-4.30E-05,-6.07E-06,115
05/25/2020 11:39:08 AM,2000,74.4,0.2,-1.06E-04,-2.82E-06,115
05/25/2020 11:39:18 AM,2010,74.3,0.19,-1.15E-04,3.20E-06,115
05/25/2020 11:39:28 AM,2020,74.4,0.2,-4.59E-05,6.12E-06,115
05/25/2020 11:39:38 AM,2030,74.4,0.19,8.89E-05,6.69E-06,115
05/25/2020 11:39:48 AM,2040,74.3,0.2,5.73E-05,3.82E-06,115.2
05/25/2020 11:39:58 AM,2050,74.6,0.2,1.83E-04,-2.10E-06,115.5
05/25/2020 11:40:08 AM,2060,74.5,0.19,8.89E-05,-8.70E-06,115.7
05/25/2020 11:40:18 AM,2070,74.8,0.21,-6.88E-05,-1.15E-05,116.1
05/25/2020 11:40:28 AM,2080,75.3,0.19,-2.12E-04,-2.91E-06,116.1
05/25/2020 11:40:38 AM,2090,75.5,0.19,-2.06E-04,6.69E-06,116.3
05/25/2020 11:40:48 AM,2100,75.4,0.19,5.16E-05,7.74E-06,116.4
05/25/2020 11:40:58 AM,2110,75.9,0.19,6.88E-05,6.21E-07,116.4
05/25/2020 11:41:08 AM,2120,75.6,0.2,-2.29E-05,-5.26E-06,116.6
05/25/2020 11:41:18 AM,2130,75.5,0.19,-9.46E-05,-2.63E-06,116.6
05/25/2020 11:41:28 AM,2140,75.5,0.19,-1.00E-04,2.34E-06,116.6
05/25/2020 11:41:38 AM,2150,75.5,0.19,-1.15E-05,3.30E-06,116.6
05/25/2020 11:41:48 AM,2160,75.5,0.19,3.44E-05,1.34E-06,116.6
05/25/2020 11:41:58 AM,2170,75.4,0.19,-3.15E-05,1.29E-06,116.4
05/25/2020 11:42:08 AM,2180,75.5,0.19,0,5.88E-06,116.4
05/25/2020 11:42:18 AM,2190,75.4,0.19,1.00E-04,6.16E-06,116.3
05/25/2020 11:42:28 AM,2200,75.5,0.2,2.55E-04,-2.39E-06,116.1
05/25/2020 11:42:38 AM,2210,75.5,0.2,8.31E-05,-1.08E-05,116.1
05/25/2020 11:42:48 AM,2220,75.7,0.2,-1.26E-04,-8.60E-06,116.3
05/25/2020 11:42:58 AM,2230,75.9,0.19,-1.66E-04,1.58E-06,116.4
05/25/2020 11:43:08 AM,2240,76,0.2,-1.15E-05,5.21E-06,116.6
05/25/2020 11:43:18 AM,2250,76.4,0.19,6.31E-05,2.05E-06,116.6
05/25/2020 11:43:28 AM,2260,77.1,0.2,-4.30E-05,-1.58E-06,117.1
05/25/2020 11:43:38 AM,2270,77.1,0.19,-1.15E-05,-3.34E-07,117.4
05/25/2020 11:43:48 AM,2280,77.1,0.19,-3.15E-05,1.72E-06,117.3
